Wavelength,Flux,BestFit,SkyFlux
4404.534,9.219,12.387,36.129
4405.549,12.654,12.357,33.364
4406.563,11.167,11.955,32.765
4407.579,9.653,10.892,34.409
4408.593,10.093,10.282,35.930
4409.607,10.826,9.840,36.420
4410.624,10.479,9.795,36.968
4411.638,8.546,10.096,39.026
4412.656,9.116,10.228,41.191
4413.671,8.957,10.142,41.674
4414.689,9.697,10.018,39.508
4415.704,10.003,9.649,35.803
4416.723,10.681,9.438,34.649
4417.739,11.580,9.459,35.568
4418.755,9.936,9.347,37.771
4419.774,7.295,9.150,39.992
4420.791,8.122,8.767,41.072
4421.810,7.252,8.599,41.060
4422.827,5.440,8.382,38.814
4423.847,6.644,7.878,37.514
4424.865,7.363,7.443,37.356
4425.883,7.450,7.859,36.865
4426.903,8.346,8.917,37.491
4427.922,9.712,9.292,38.138
4428.943,8.239,8.946,38.542
4429.962,9.686,8.376,38.348
4430.983,7.497,7.975,37.774
4432.003,8.272,7.966,37.168
4433.022,9.241,8.074,37.098
4434.044,9.867,8.151,36.912
4435.064,8.936,8.317,35.686
4436.087,8.048,8.693,34.022
4437.108,8.192,9.149,34.172
4438.131,9.286,9.290,37.300
4439.152,11.635,9.385,40.375
4440.173,9.534,9.513,40.064
4441.197,11.750,9.801,39.604
4442.219,8.811,10.095,37.727
4443.243,8.429,10.201,35.426
4444.265,10.493,10.456,34.764
4445.290,9.402,10.037,36.188
4446.313,10.284,9.882,38.221
4447.336,9.697,10.060,39.072
4448.361,11.980,10.260,38.479
4449.384,11.515,10.434,38.284
4450.410,9.194,10.800,38.361
4451.434,11.213,11.113,38.529
4452.461,11.903,10.988,38.005
4453.485,14.260,10.868,37.407
4454.510,12.866,11.042,36.236
4455.537,12.346,11.164,33.503
4456.562,11.858,10.856,32.202
4457.589,10.843,10.923,33.260
4458.615,11.791,10.775,33.441
4459.643,8.501,10.677,33.824
4460.669,10.928,10.620,33.684
4461.695,13.199,10.272,33.339
4462.724,11.719,10.302,33.158
4463.751,10.239,10.241,34.247
4464.780,10.102,10.145,35.959
4465.807,10.729,10.288,36.282
4466.837,10.518,10.439,36.581
4467.864,9.993,10.269,36.915
4468.892,11.266,10.366,36.107
4469.923,11.003,9.863,34.846
4470.951,9.196,9.671,34.863
4471.982,8.879,9.592,36.404
4473.011,9.381,9.158,37.398
4474.042,10.119,8.522,38.209
4475.072,8.336,8.217,38.786
4476.101,5.211,7.387,38.118
4477.133,6.765,6.766,38.210
4478.163,7.476,6.423,38.948
4479.196,5.265,6.263,39.332
4480.226,7.363,6.471,38.044
4481.259,6.409,7.128,35.300
4482.290,6.521,7.808,33.583
4483.322,8.748,8.481,33.501
4484.355,10.879,8.992,35.108
4485.387,7.263,9.261,37.325
4486.421,10.924,9.482,38.641
4487.453,9.841,9.940,38.978
4488.488,10.598,9.878,38.479
4489.521,10.015,9.755,35.433
4490.554,9.835,9.922,33.407
4491.589,10.957,10.141,33.812
4492.622,9.610,10.126,36.939
4493.658,8.060,10.415,38.215
4494.692,10.592,10.194,37.833
4495.729,12.030,10.047,36.163
4496.763,9.893,10.271,36.341
4497.800,11.160,10.538,36.875
4498.834,7.634,10.431,37.448
4499.869,13.151,10.311,37.882
4500.907,10.406,10.385,37.863
4501.943,11.739,10.257,37.668
4502.981,11.045,10.163,37.737
4504.017,10.717,10.194,38.552
4505.055,9.950,10.050,39.239
4506.092,8.497,9.768,39.952
4507.128,9.863,9.751,39.482
4508.168,11.436,9.773,38.732
4509.205,8.843,9.566,39.407
4510.244,7.290,9.116,40.494
4511.282,9.225,8.606,39.885
4512.322,8.524,8.143,39.509
4513.360,7.989,7.847,39.386
4514.399,6.702,7.392,38.293
4515.440,5.452,6.908,37.856
4516.478,6.883,6.434,38.317
4517.520,5.491,5.948,37.901
4518.559,4.431,6.114,37.958
4519.601,5.472,7.208,37.750
4520.641,6.121,7.578,38.314
4521.681,6.244,7.216,38.787
4522.724,6.010,6.891,38.619
4523.764,5.910,6.932,38.094
4524.807,7.311,6.911,36.315
4525.848,7.134,7.393,35.866
4526.892,8.151,7.912,35.516
4527.933,11.463,8.340,33.900
4528.975,9.226,8.742,33.434
4530.019,9.000,9.184,33.445
4531.061,8.363,9.753,34.250
4532.106,11.456,9.831,34.797
4533.149,10.168,9.943,35.245
4534.194,9.941,9.888,35.221
4535.237,10.051,9.762,34.564
4536.280,10.211,10.066,34.310
4537.327,10.817,10.362,35.850
4538.370,10.300,10.379,38.363
4539.417,8.887,10.473,39.745
4540.461,8.563,10.693,38.353
4541.508,12.587,10.913,36.667
4542.553,13.359,11.006,36.992
4543.598,10.652,10.909,38.019
4544.646,9.997,11.019,37.732
4545.691,13.477,11.116,37.145
4546.739,11.488,11.214,36.696
4547.785,11.053,11.199,35.596
4548.834,8.980,10.874,34.974
4549.881,10.917,10.662,34.466
4550.927,14.503,10.916,33.981
4551.977,13.912,11.015,34.824
4553.024,10.241,10.988,36.294
4554.074,9.621,11.148,36.444
4555.121,11.648,11.492,35.834
4556.172,9.267,11.534,35.543
4557.220,10.107,11.441,35.191
4558.268,12.870,11.195,36.491
4559.319,11.020,10.987,37.450
4560.368,11.755,10.775,37.135
4561.420,9.599,10.513,37.722
4562.469,11.624,10.855,38.218
4563.521,9.969,11.059,37.286
4564.571,11.608,11.098,36.598
4565.621,10.855,11.050,34.816
4566.674,12.211,11.096,34.001
4567.725,13.308,11.354,35.116
4568.778,12.860,11.455,36.683
4569.829,12.059,11.413,37.188
4570.883,11.137,11.439,36.641
4571.934,11.206,11.492,36.119
4572.989,9.474,11.567,35.680
